1,4,3,5,2,7,6
3,6,5,7,1,2,4
5,6,2,3,1,7,4
4,2,5,6,1,7,3
2,3,4,5,1,7,6
6,7,4,2,3,1,5
7,6,4,2,3,1,5
3,5,4,7,1,2,6
6,5,1,7,2,4,3
7,1,2,3,4,5,6
1,4,3,5,2,7,6
3,6,5,7,1,2,4
5,6,2,3,1,7,4
4,2,5,6,1,7,3
2,3,4,5,1,7,6
6,7,4,2,3,1,5
7,6,4,2,3,1,5
3,5,4,7,1,2,6
6,5,1,7,2,4,3
7,1,2,3,4,5,6
1,4,3,5,2,7,6
3,6,5,7,1,2,4
5,6,2,3,1,7,4
4,2,5,6,1,7,3
2,3,4,5,1,7,6
6,7,4,2,3,1,5
7,6,4,2,3,1,5
3,5,4,7,1,2,6
6,5,1,7,2,4,3
7,1,2,3,4,5,6
1,4,3,5,2,7,6
3,6,5,7,1,2,4
5,6,2,3,1,7,4
4,2,5,6,1,7,3
2,3,4,5,1,7,6
6,7,4,2,3,1,5
7,6,4,2,3,1,5
3,5,4,7,1,2,6
6,5,1,7,2,4,3
7,1,2,3,4,5,6
1,4,3,5,2,7,6
3,6,5,7,1,2,4
5,6,2,3,1,7,4
4,2,5,6,1,7,3
2,3,4,5,1,7,6
6,7,4,2,3,1,5
7,6,4,2,3,1,5
3,5,4,7,1,2,6
6,5,1,7,2,4,3
7,1,2,3,4,5,6
1,4,3,5,2,7,6
3,6,5,7,1,2,4
5,6,2,3,1,7,4
4,2,5,6,1,7,3
2,3,4,5,1,7,6
6,7,4,2,3,1,5
7,6,4,2,3,1,5
3,5,4,7,1,2,6
6,5,1,7,2,4,3
7,1,2,3,4,5,6
1,4,3,5,2,7,6
3,6,5,7,1,2,4
5,6,2,3,1,7,4
4,2,5,6,1,7,3
2,3,4,5,1,7,6
6,7,4,2,3,1,5
7,6,4,2,3,1,5
3,5,4,7,1,2,6
6,5,1,7,2,4,3
7,1,2,3,4,5,6
1,4,3,5,2,7,6
3,6,5,7,1,2,4
5,6,2,3,1,7,4
4,2,5,6,1,7,3
2,3,4,5,1,7,6
6,7,4,2,3,1,5
7,6,4,2,3,1,5
3,5,4,7,1,2,6
6,5,1,7,2,4,3
7,1,2,3,4,5,6
1,4,3,5,2,7,6
3,6,5,7,1,2,4
5,6,2,3,1,7,4
4,2,5,6,1,7,3
2,3,4,5,1,7,6
6,7,4,2,3,1,5
7,6,4,2,3,1,5
3,5,4,7,1,2,6
6,5,1,7,2,4,3
7,1,2,3,4,5,6
2,3,4,5,1,7,6
6,7,4,2,3,1,5
7,6,4,2,3,1,5
3,5,4,7,1,2,6
6,5,1,7,2,4,3
7,1,2,3,4,5,6
